aliquot	feature_1	feature_2	disease	center
TCGA-13-1483-01A-01R-1565-13	55.1762941489612	-3.56799797046329	OV	BCCAGSC
TCGA-13-1485-01A-02R-1565-13	49.9790173240333	2.85048874289789	OV	BCCAGSC
TCGA-13-1487-01A-01R-1565-13	48.5146161352452	0.353855612415576	OV	BCCAGSC
TCGA-13-1488-01A-01R-1565-13	50.918598755851	0.918674835721186	OV	BCCAGSC
TCGA-13-1489-01A-01R-1565-13	54.7403484821107	-3.79405565608755	OV	BCCAGSC
TCGA-13-1492-01A-01R-1565-13	54.8615143608988	4.09389894222245	OV	BCCAGSC
TCGA-13-1495-01A-01R-1565-13	53.7162149423747	-4.40707916116218	OV	BCCAGSC
TCGA-13-1496-01A-01R-1565-13	48.5885389969569	0.128148439860996	OV	BCCAGSC
TCGA-13-1497-01A-01R-1565-13	53.6476325861533	-2.55048774766083	OV	BCCAGSC
TCGA-13-1498-01A-01R-1565-13	54.8671042383619	-4.27704704105964	OV	BCCAGSC
TCGA-13-1499-01A-01R-1565-13	57.3398144489316	-3.10271712447698	OV	BCCAGSC
TCGA-13-1501-01A-01R-1565-13	53.5394939307168	-4.60188631117764	OV	BCCAGSC
TCGA-13-1505-01A-01R-1565-13	51.6581998160587	3.31965225923817	OV	BCCAGSC
TCGA-13-1506-01A-01R-1565-13	48.5392370884475	0.491597896767563	OV	BCCAGSC
TCGA-13-1507-01A-01R-1565-13	51.3735142238774	-6.58903036300329	OV	BCCAGSC
TCGA-13-1509-01A-01R-1565-13	54.5565734996047	-4.73024392170463	OV	BCCAGSC
TCGA-13-1510-01A-02R-1565-13	54.828123185663	-3.8135816235828	OV	BCCAGSC
TCGA-13-1511-01A-01R-1565-13	57.6597698199433	-0.853234169978492	OV	BCCAGSC
TCGA-13-1512-01A-01R-1565-13	52.0311202767158	-3.97525898541719	OV	BCCAGSC
TCGA-13-2060-01A-01R-1568-13	52.4825826171786	-1.28727032537883	OV	BCCAGSC
TCGA-13-A5FT-01A-11R-A406-31	54.8661676732714	4.09176701478069	OV	BCCAGSC
TCGA-14-0781-01B-01R-1849-01	-23.4172602198731	-37.5171208914497	GBM	BI
TCGA-14-0787-01A-01R-1849-01	-19.4738479947728	-33.4687562938771	GBM	BI
TCGA-14-0789-01A-01R-1849-01	-19.9898426696799	-34.499092750952	GBM	BI
TCGA-14-0790-01B-01R-1849-01	-19.8515495650326	-33.5600462360151	GBM	BI
TCGA-14-0817-01A-01R-1849-01	-22.3790667047996	-38.331687452174	GBM	BI
TCGA-14-0871-01A-01R-1849-01	-16.1780279149616	-31.5005384944223	GBM	BI
TCGA-14-1034-01A-01R-1849-01	-19.7371449520786	-34.0884258875165	GBM	BI
TCGA-14-1823-01A-01R-1849-01	-21.7533892092466	-38.7783592673779	GBM	BI
TCGA-14-1825-01A-01R-1850-01	-16.5581337197136	-31.7011772723965	GBM	BI
TCGA-14-1829-01A-01R-1850-01	-21.8894629462972	-39.0025383271925	GBM	BI
TCGA-14-2554-01A-01R-1850-01	-23.4218153842229	-38.3673377489725	GBM	BI
TCGA-15-0742-01A-01R-1850-01	-22.0551651805278	-33.9125188192076	GBM	BI
TCGA-15-1444-01A-02R-1850-01	-24.4747023822881	-34.4080847040999	GBM	BI
TCGA-16-0846-01A-01R-1850-01	-21.0945180417067	-35.715531605291	GBM	BI
TCGA-16-1045-01B-01R-1850-01	-20.3828705896685	-34.4565629301723	GBM	BI
TCGA-18-3406-01A-01R-0980-07	-5.85053354369326	23.0922369797747	LUSC	UNC-LCCC
TCGA-18-3407-01A-01R-0980-07	-1.89150535965238	19.573198944835	LUSC	UNC-LCCC
TCGA-18-3408-01A-01R-0980-07	-5.01632162634529	21.7813471986462	LUSC	UNC-LCCC
TCGA-18-3409-01A-01R-0980-07	-5.75297670110306	17.2236390011333	LUSC	UNC-LCCC
TCGA-18-3410-01A-01R-0980-07	-3.38939251696468	18.4276941951737	LUSC	UNC-LCCC
TCGA-18-3411-01A-01R-0980-07	-4.19644635615172	25.4406922565248	LUSC	UNC-LCCC
TCGA-18-3412-01A-01R-0980-07	-4.13486788102209	25.5690088566249	LUSC	UNC-LCCC
TCGA-18-3414-01A-01R-0980-07	-2.35859627673964	23.426642372269	LUSC	UNC-LCCC
TCGA-18-3415-01A-01R-0980-07	-4.73375925209361	21.878208483186	LUSC	UNC-LCCC
TCGA-18-3416-01A-01R-0980-07	-2.63651776115488	14.0256919245631	LUSC	UNC-LCCC
TCGA-18-3417-01A-01R-1443-07	-2.76090860947313	-0.799574769392753	LUSC	UNC-LCCC
TCGA-18-3419-01A-01R-0980-07	1.28713594422725	17.0560492944764	LUSC	UNC-LCCC
TCGA-18-3421-01A-01R-0980-07	-5.76591775267704	23.421015195747	LUSC	UNC-LCCC
TCGA-18-4083-01A-01R-1100-07	-2.59371609154777	15.8907269272047	LUSC	UNC-LCCC
TCGA-18-4086-01A-01R-1100-07	-3.24772648377339	25.8167182107372	LUSC	UNC-LCCC
TCGA-18-4721-01A-01R-1443-07	-2.81953632503092	-0.757415284167725	LUSC	UNC-LCCC
TCGA-18-5592-01A-01R-1635-07	0.563837412717552	29.0151140247756	LUSC	UNC-LCCC
TCGA-18-5595-01A-01R-1635-07	1.50452994204762	29.631231576689	LUSC	UNC-LCCC
TCGA-19-1390-01A-01R-1850-01	-23.8391193672098	-33.7431057603557	GBM	BI
TCGA-19-1787-01B-01R-1850-01	-24.3846265080368	-37.0661044680841	GBM	BI
TCGA-19-2619-01A-01R-1850-01	-24.3796260826171	-36.533285553084	GBM	BI
TCGA-19-2620-01A-01R-1850-01	-19.6284779806969	-33.5719005234392	GBM	BI
TCGA-19-2624-01A-01R-1850-01	-24.0586818274678	-33.6743528109665	GBM	BI
TCGA-19-2625-01A-01R-1850-01	-24.1171894181702	-35.4371949611641	GBM	BI
TCGA-19-2629-01A-01R-1850-01	-23.8816730872778	-36.4771913141993	GBM	BI
TCGA-19-4065-01A-01R-2005-01	-22.7959170681872	-37.1646260257444	GBM	BI
TCGA-19-5960-01A-11R-1850-01	-22.7834586788332	-34.1351797781269	GBM	BI
TCGA-20-0987-01A-02R-1564-13	2.50331743575033	-16.4556318394683	OV	BCCAGSC
TCGA-20-0991-01A-01R-1564-13	51.3923255402744	-6.67884271613809	OV	BCCAGSC
TCGA-20-1682-01A-01R-1564-13	50.2300223567044	-0.960294047446229	OV	BCCAGSC
TCGA-20-1683-01A-01R-1566-13	58.3712025432694	0.0205871350244579	OV	BCCAGSC
TCGA-20-1686-01A-01R-1566-13	51.5000218398752	-4.78009643710338	OV	BCCAGSC
TCGA-20-1687-01A-01R-1566-13	51.636513556837	-2.53886970671881	OV	BCCAGSC
TCGA-21-1070-01A-01R-0692-07	-1.85304737034153	17.7239053037733	LUSC	UNC-LCCC
TCGA-21-1071-01A-01R-0692-07	-2.24567300505772	16.4356336038022	LUSC	UNC-LCCC
TCGA-21-1072-01A-01R-0692-07	-3.29652480300878	24.4917250874407	LUSC	UNC-LCCC
TCGA-21-1075-01A-01R-0692-07	-3.65087240215627	24.5784109291801	LUSC	UNC-LCCC
TCGA-21-1076-01A-02R-0692-07	-3.81158931380187	19.8428548543677	LUSC	UNC-LCCC
TCGA-21-1077-01A-01R-0692-07	-3.38907444099235	24.3362743250679	LUSC	UNC-LCCC
TCGA-21-1078-01A-01R-0692-07	12.5709366202584	4.608220838054	LUSC	UNC-LCCC
TCGA-21-1079-01A-01R-0692-07	4.50799779642313	22.3149714576149	LUSC	UNC-LCCC
TCGA-21-1080-01A-01R-0692-07	-1.35643806882754	22.2221685719907	LUSC	UNC-LCCC
TCGA-21-1081-01A-01R-0692-07	-1.69702595777407	30.9641916447436	LUSC	UNC-LCCC
TCGA-21-1082-01A-01R-0692-07	-1.1921930800873	24.7767768855722	LUSC	UNC-LCCC
TCGA-21-1083-01A-01R-0692-07	-3.7091117172237	29.0449998269274	LUSC	UNC-LCCC
TCGA-21-5782-01A-01R-1635-07	-10.1003900891653	-29.6565175034341	LUSC	UNC-LCCC
TCGA-21-5783-01A-41R-2187-07	-2.88978037350099	23.3583417616552	LUSC	UNC-LCCC
TCGA-21-5784-01A-01R-1635-07	-5.0849121291992	27.1529821682891	LUSC	UNC-LCCC
TCGA-21-5786-01A-01R-1635-07	0.00442962158802123	30.6643772905343	LUSC	UNC-LCCC
TCGA-21-5787-01A-01R-1635-07	-12.3689369367251	24.6082193013854	LUSC	UNC-LCCC
TCGA-21-A5DI-01A-31R-A26W-07	-0.0981621222867216	6.70000206711134	LUSC	UNC-LCCC
