feature_1	feature_2	feature_3	project
TCGA-G2-A3IB	-8.86826132714614	-16.1503547835164	-7.6328299337244	BLCA
TCGA-G2-A3IE	-23.7043057592258	-1.81778745223501	-5.60388760967662	BLCA
TCGA-G2-A3VY	-22.992503315969	-1.96610350009612	-6.64628811135632	BLCA
TCGA-G2-AA3B	-24.0568931110589	-1.77801489617335	-5.8282030144587	BLCA
TCGA-G2-AA3D	-19.9836652941337	-1.30832285946752	-1.67993407135432	BLCA
TCGA-G2-AA3F	-22.8992532719958	-1.27626216231702	-5.54269627966618	BLCA
TCGA-GC-A3BM	-23.6864295672448	1.48808655731757	-7.13037809229556	BLCA
TCGA-GC-A3I6	-23.8102710026145	-15.2635237641979	2.7317287073844	BLCA
TCGA-GC-A3OO	-15.8832167318034	2.42655341973592	-5.25112975118839	BLCA
TCGA-GC-A3RB	-22.9412489336352	-2.39145575880724	-6.47041312588671	BLCA
TCGA-GC-A3RC	-15.4584576193984	-6.68691054695708	-4.55160688788994	BLCA
TCGA-GC-A3RD	-23.1195388829634	-1.48407915532564	-5.52085371201347	BLCA
TCGA-GC-A3WC	-6.57331800645826	-8.16505764159458	1.64735994387788	BLCA
TCGA-GC-A3YS	-16.1154314537968	-3.45321350967277	-3.13987800859734	BLCA
TCGA-GC-A4ZW	-18.9538529399102	1.8374638454263	-0.902605171322115	BLCA
TCGA-GC-A6I1	-17.0358750347068	-9.47832817585665	-1.1344485831888	BLCA
TCGA-GC-A6I3	-17.9964944037514	-0.592260883440812	-3.39329408255713	BLCA
